Date,Date,spread_10_2,spread_10_3,Adj Close
2016-03-11,2016-03-11,1.01,1.65,13.219197
2016-03-14,2016-03-14,1.0,1.63,13.135178
2016-03-15,2016-03-15,0.99,1.63,13.051155
2016-03-16,2016-03-16,1.0699999999999998,1.63,12.911126
2016-03-17,2016-03-17,1.04,1.6199999999999999,13.037153
2016-03-18,2016-03-18,1.04,1.5799999999999998,12.939128
2016-03-21,2016-03-21,1.0499999999999998,1.6099999999999999,13.317222
2016-03-22,2016-03-22,1.0299999999999998,1.64,13.07216
2016-03-23,2016-03-23,1.0099999999999998,1.5799999999999998,13.051155
2016-03-24,2016-03-24,1.02,1.6099999999999999,12.911126
2016-03-28,2016-03-28,0.9999999999999999,1.5999999999999999,13.07216
2016-03-29,2016-03-29,1.03,1.58,12.666059
2016-03-30,2016-03-30,1.07,1.6300000000000001,12.918122
2016-03-31,2016-03-31,1.05,1.57,12.869111
2016-04-01,2016-04-01,1.03,1.56,12.792095
2016-04-04,2016-04-04,1.03,1.55,12.596045
2016-04-05,2016-04-05,1.01,1.5,12.463011
2016-04-06,2016-04-06,1.03,1.53,12.631055
2016-04-07,2016-04-07,1.0,1.47,11.965895
2016-04-08,2016-04-08,1.02,1.49,12.049915
2016-04-11,2016-04-11,1.03,1.5,12.126934
2016-04-12,2016-04-12,1.05,1.57,12.470016
2016-04-13,2016-04-13,1.02,1.54,12.736079
2016-04-14,2016-04-14,1.03,1.58,12.904123
2016-04-15,2016-04-15,1.02,1.54,12.764087
2016-04-18,2016-04-18,1.03,1.56,12.925126
2016-04-19,2016-04-19,1.02,1.58,13.03015
2016-04-20,2016-04-20,1.05,1.62,13.394236
2016-04-21,2016-04-21,1.06,1.65,13.275208
2016-04-22,2016-04-22,1.0499999999999998,1.66,13.149179
2016-04-25,2016-04-25,1.06,1.66,13.177183
2016-04-26,2016-04-26,1.08,1.7,13.065157
2016-04-27,2016-04-27,1.04,1.6300000000000001,13.086163
2016-04-28,2016-04-28,1.06,1.62,12.869111
2016-04-29,2016-04-29,1.06,1.61,12.953134
2016-05-02,2016-05-02,1.0799999999999998,1.66,12.862113
2016-05-03,2016-05-03,1.06,1.6,12.603047
2016-05-04,2016-05-04,1.04,1.6,12.65206
2016-05-05,2016-05-05,1.04,1.56,12.78509
2016-05-06,2016-05-06,1.05,1.6,12.848109
2016-05-09,2016-05-09,1.05,1.53,12.701069
2016-05-10,2016-05-10,1.05,1.53,12.855107
2016-05-11,2016-05-11,0.99,1.47,12.813096
2016-05-12,2016-05-12,0.99,1.48,12.77809
2016-05-13,2016-05-13,0.95,1.42,12.661381
2016-05-16,2016-05-16,0.96,1.47,12.7887
2016-05-17,2016-05-17,0.9400000000000001,1.48,12.880652
2016-05-18,2016-05-18,0.9700000000000001,1.57,13.22018
2016-05-19,2016-05-19,0.9600000000000001,1.54,13.015046
2016-05-20,2016-05-20,0.9600000000000001,1.52,13.290912
